id,name,brewery,content,imageUrl,oldId
"3rzgw0zw6-brand","男山","男山株式会社","<p>男山は、男山株式会社が展開する代表的な銘柄です。</p>",,"3rzgw0zw6"
"i341-7bb67c6-brand","国士無双","高砂酒造株式会社","<p>国士無双は、高砂酒造株式会社が展開する代表的な銘柄です。</p>",,"i341-7bb67c6"
"fd4l3m5b35pv-brand","千歳鶴","日本清酒株式会社","<p>千歳鶴は、日本清酒株式会社が展開する代表的な銘柄です。</p>",,"fd4l3m5b35pv"
"5fmj_8v-2k-brand","北の錦","小林酒造株式会社","<p>北の錦は、小林酒造株式会社が展開する代表的な銘柄です。</p>",,"5fmj_8v-2k"
"m8iqpy122ec-brand","北の勝","碓氷勝三郎商店","<p>北の勝は、碓氷勝三郎商店が展開する代表的な銘柄です。</p>",,"m8iqpy122ec"
"w4yc7twxsl-brand","国稀","国稀酒造株式会社","<p>国稀は、国稀酒造株式会社が展開する代表的な銘柄です。</p>",,"w4yc7twxsl"
"7jymgd4st-brand","金滴","金滴酒造株式会社","<p>金滴は、金滴酒造株式会社が展開する代表的な銘柄です。</p>",,"7jymgd4st"
"a1pc_eeuf-brand","二世古","有限会社二世古酒造","<p>二世古は、有限会社二世古酒造が展開する代表的な銘柄です。</p>",,"a1pc_eeuf"
"uppkd-0sb-brand","宝川","田中酒造株式会社","<p>宝川は、田中酒造株式会社が展開する代表的な銘柄です。</p>",,"uppkd-0sb"
"9ou1xde0rk-brand","福司","福司酒造株式会社","<p>福司は、福司酒造株式会社が展開する代表的な銘柄です。</p>",,"9ou1xde0rk"
"cwdtquc7ot-9-brand","神川","上川大雪酒造 緑丘蔵","<p>神川は、上川大雪酒造 緑丘蔵が展開する代表的な銘柄です。</p>",,"cwdtquc7ot-9"
"f6gugt63t-brand","十勝","上川大雪酒造 碧雲蔵","<p>十勝は、上川大雪酒造 碧雲蔵が展開する代表的な銘柄です。</p>",,"f6gugt63t"
"ls6kjtevg-brand","五稜","上川大雪酒造 五稜乃蔵","<p>五稜は、上川大雪酒造 五稜乃蔵が展開する代表的な銘柄です。</p>",,"ls6kjtevg"
"xm4uqi7nl-brand","三千櫻","三千櫻酒造株式会社","<p>三千櫻は、三千櫻酒造株式会社が展開する代表的な銘柄です。</p>",,"xm4uqi7nl"
"6l-vjn_6h89c-brand","郷宝","箱館醸蔵有限会社","<p>郷宝は、箱館醸蔵有限会社が展開する代表的な銘柄です。</p>",,"6l-vjn_6h89c"
"8miqcyv0du-brand","大雪乃蔵","合同酒精株式会社 旭川工場","<p>大雪乃蔵は、合同酒精株式会社 旭川工場が展開する代表的な銘柄です。</p>",,"8miqcyv0du"
"u76clm3tcs-brand","北鹿","株式会社北鹿","<p>北鹿は、株式会社北鹿が展開する代表的な銘柄です。</p>",,"u76clm3tcs"
"y_l_651bixcv-brand","千歳盛","千歳盛酒造株式会社","<p>千歳盛は、千歳盛酒造株式会社が展開する代表的な銘柄です。</p>",,"y_l_651bixcv"
"pn7ypsuq_4t-brand","喜久水","喜久水酒造合資会社","<p>喜久水は、喜久水酒造合資会社が展開する代表的な銘柄です。</p>",,"pn7ypsuq_4t"
"nc9s8efd3dd-brand","山本 / 白瀑","株式会社山本酒造店","<p>山本 / 白瀑は、株式会社山本酒造店が展開する代表的な銘柄です。</p>",,"nc9s8efd3dd"
"86nvk1wrt_51-brand","新政","新政酒造株式会社","<p>新政は、新政酒造株式会社が展開する代表的な銘柄です。</p>",,"86nvk1wrt_51"
"5nmf6hte_tp-brand","ゆきの美人","秋田醸造株式会社","<p>ゆきの美人は、秋田醸造株式会社が展開する代表的な銘柄です。</p>",,"5nmf6hte_tp"
"ng-dutdo060c-brand","高清水","秋田酒類製造株式会社","<p>高清水は、秋田酒類製造株式会社が展開する代表的な銘柄です。</p>",,"ng-dutdo060c"
"mfklx_kfln-brand","秋田晴 / 酔楽天","秋田酒造株式会社","<p>秋田晴 / 酔楽天は、秋田酒造株式会社が展開する代表的な銘柄です。</p>",,"mfklx_kfln"
"4a1rzs4h51-brand","銀鱗","株式会社那波商店","<p>銀鱗は、株式会社那波商店が展開する代表的な銘柄です。</p>",,"4a1rzs4h51"
"h7mj9zza9-brand","一白水成","福禄寿酒造株式会社","<p>一白水成は、福禄寿酒造株式会社が展開する代表的な銘柄です。</p>",,"h7mj9zza9"
