id,name,prefecture,address,phone,website,content,imageUrl,oldId
"3rzgw0zw6","男山株式会社（男山）","北海道","〒079-8412 北海道旭川市永山2条7丁目1-33","0166-48-1931","https://www.otokoyama.com/","<h2 id=""h7aa0ac0a1c"">大雪山の伏流水が醸す、世界に愛される辛口</h2><p>北海道・旭川の厳しい寒さと、大雪山系の万年雪を源とする清冽な伏流水。男山はこの大自然の恵みを最大限に活かし、キレのある端麗辛口な日本酒を醸し続けています。</p><h2 id=""h783ad70dba"">歴史と革新の融合</h2><p>1977年には日本酒として世界初のモンドセレクション金賞を受賞。江戸時代から続く伝統的な酒造りの精神を受け継ぎながらも、常に新しい技術を探求し続けています。</p>",,"3rzgw0zw6"
"i341-7bb67c6","高砂酒造株式会社（国士無双）","北海道","〒070-0030 北海道旭川市宮下通17丁目右1号","0166-23-2251","https://takasagoshuzo.com/","<h2 id=""h3dc0a33028"">豪快な切れ味を誇る「国士無双」の蔵</h2><p>明治32年創業。旭川の気候風土を活かし、雪深い冬の寒さを利用した「雪氷室（ゆきひむろ）」での搾りなど、北国ならではの酒造りを行っています。</p><h2 id=""h78ae82c2ff"">辛口日本酒のパイオニア</h2><p>昭和50年代に誕生した代表銘柄「国士無双」は、当時の甘口偏重の風潮に一石を投じた辛口酒として、全国にその名を轟かせました。</p>",,"i341-7bb67c6"
"fd4l3m5b35pv","日本清酒株式会社（千歳鶴）","北海道","〒060-0053 北海道札幌市中央区南3条東5丁目1番地","011-221-7570","https://nipponseishu.co.jp/","<h2 id=""ha5d6d1fe07"">札幌の歴史と共に歩む地酒「千歳鶴」</h2><p>明治5年（1872年）創業。札幌市内に唯一残る歴史ある酒蔵です。豊平川の豊かな伏流水を使用し、札幌の食文化に寄り添う酒造りを行っています。</p><h2 id=""hdbfd571953"">全国新酒鑑評会での輝かしい実績</h2><p>北海道の酒造好適米「吟風」などを積極的に使用し、全国新酒鑑評会で幾度となく金賞を受賞。北海道の酒造りを牽引する存在です。</p>",,"fd4l3m5b35pv"
"5fmj_8v-2k","小林酒造株式会社（北の錦）","北海道","〒069-1521 北海道夕張郡栗山町錦3丁目109番地","0123-72-1001","http://www.kitanonishiki.com/","<h2 id=""h8abd8585d3"">炭鉱の歴史と共に栄えた栗山の老舗蔵</h2><p>明治11年創業。かつて夕張の炭鉱労働者たちの喉を潤した力強い味わいの歴史を持ちます。レンガ造りの蔵群は、国の登録有形文化財にも指定されています。</p><h2 id=""haa547ddee0"">北海道産米100%へのこだわり</h2><p>現在では道産米100%での酒造りにこだわり、「北の錦」の名に恥じない、北海道のテロワールを表現した芳醇な味わいを生み出しています。</p>",,"5fmj_8v-2k"
"m8iqpy122ec","碓氷勝三郎商店（北の勝）","北海道","〒087-0051 北海道根室市常盤町1丁目6番地","0153-23-2010","(公式サイトなし)","<h2 id=""h68a5dade64"">日本最東端、根室の海に寄り添う地酒</h2><p>明治20年創業。日本最東端の町・根室で、地元の漁師たちに愛され続けてきた酒蔵です。代表銘柄「北の勝」は、海の幸に抜群に合うスッキリとした味わいです。</p><h2 id=""h59c8aef964"">幻の酒「搾りたて」</h2><p>毎年1月に発売される「北の勝 搾りたて」は、地元でも入手困難なほどの熱狂的な人気を誇り、根室の冬の風物詩となっています。</p>",,"m8iqpy122ec"
"w4yc7twxsl","国稀酒造株式会社（国稀）","北海道","〒077-0204 北海道増毛郡増毛町稲葉町1丁目17","0164-53-1050","https://www.kunimare.co.jp/","<h2 id=""hc283084a92"">日本最北の酒蔵が守る、増毛の伝統</h2><p>明治15年創業。北海道増毛町にある日本最北の酒蔵です。暑寒別岳連峰からの清らかな伏流水を使用し、スッキリとした口当たりと深い味わいを醸しています。</p><h2 id=""h26f58b5cd5"">ニシン漁と共に歩んだ歴史</h2><p>かつてニシン漁で栄えた増毛の歴史と共に発展し、海の幸の旨味を引き立てる辛口酒として、地元北海道で圧倒的な支持を集めています。</p>",,"w4yc7twxsl"
"7jymgd4st","金滴酒造株式会社（金滴）","北海道","〒073-1103 北海道樺戸郡新十津川町字中央71-7","0125-76-2341","https://www.kinteki.co.jp/","<h2 id=""hc886bfc6ee"">ピンネシリの伏流水で醸す新十津川の酒</h2><p>明治39年創業。自然豊かな新十津川町で、ピンネシリ山系の伏流水と北海道産酒造好適米を使用し、手造りにこだわった酒造りを行っています。</p><h2 id=""h307d0eab2f"">ふくよかで優しい味わい</h2><p>「金滴（きんてき）」の名は、砂金に由来します。その味わいは、米の旨味をしっかりと感じられる、ふくよかで優しい口当たりが特徴です。</p>",,"7jymgd4st"
"a1pc_eeuf","有限会社二世古酒造（二世古）","北海道","〒044-0083 北海道虻田郡倶知安町字旭47番地","0136-22-1040","https://nisekoshuzo.com/","<h2 id=""h7c6ba9efb0"">羊蹄山の麓、豪雪地帯ならではの「雪降り酒」</h2><p>大正5年創業。羊蹄山の伏流水（蝦夷富士の湧水）とニセコ連峰の伏流水を使い分け、豪雪地帯ならではの澄んだ空気の中で酒を醸しています。</p><h2 id=""h3888d15a30"">加水しない「原酒」へのこだわり</h2><p>二世古酒造の最大の特徴は、仕込み水以外の一切の水を加えない「原酒」にこだわっていること。力強くも透明感のある味わいが楽しめます。</p>",,"a1pc_eeuf"
"uppkd-0sb","田中酒造株式会社（宝川）","北海道","〒047-0031 北海道小樽市色内3丁目2番5号","0134-23-0390","https://tanakashuzo.com/","<h2 id=""h7c0ddd9540"">小樽の歴史を紡ぐ、北海道産米100%の地酒</h2><p>明治32年創業。小樽市内に「本店」と「亀甲蔵（きっこうぐら）」の2つの歴史的建造物を持ち、小樽の風情と共に酒造りを続けています。</p><h2 id=""h74e8776390"">全国でも珍しい「四季醸造」</h2><p>冷涼な気候を活かし、全国的にも珍しい一年中酒造りを行う「四季醸造」を行っています。いつでも搾りたてのフレッシュな日本酒を味わえるのが魅力です。</p>",,"uppkd-0sb"
"9ou1xde0rk","福司酒造株式会社（福司）","北海道","〒085-0831 北海道釧路市住吉1丁目13番23号","0154-41-3100","https://www.fukutsukasa.jp/","<h2 id=""h00dcd0824d"">道東・釧路で唯一の酒蔵</h2><p>大正8年創業。太平洋に面した釧路市に位置し、海霧（じり）がもたらす独特の冷涼な気候の中で、ゆっくりと発酵を進める酒造りが特徴です。</p><h2 id=""h75e57accb6"">海の幸を引き立てる名脇役</h2><p>「福を司る」という縁起の良い名を持つ福司は、サンマやクジラなど、釧路の豊かな海産物との相性を第一に考えた、飲み飽きしない味わいが地元で愛されています。</p>",,"9ou1xde0rk"
"cwdtquc7ot-9","上川大雪酒造 緑丘蔵（神川）","北海道","〒078-1761 北海道上川郡上川町旭町25番地1","01658-7-7380","https://kamikawa-taisetsu.co.jp/","<h2 id=""h7cc60dfe45"">「飲まさる酒」を追求する地方創生の象徴</h2><p>「飲まさる」とは北海道弁で「ついつい飲んでしまう」という意味。かつて酒蔵が途絶えた上川町に新設され、北海道の酒造りに新しい風を吹き込みました。</p><h2 id=""hba11b9e379"">究極の食中酒を目指して</h2><p>北海道産の酒造好適米と大雪山系の水を使い、全量純米造りにこだわり、手造りの温かみを感じる小仕込みで、食事に究極に寄り添う酒を醸しています。</p>",,"cwdtquc7ot-9"
"f6gugt63t","上川大雪酒造 碧雲蔵（十勝）","北海道","〒080-8555 北海道帯広市稲田町西2線11 帯広畜産大学内","0155-41-3100","https://tokachi-taisetsu.co.jp/","<h2 id=""he23fb14b4e"">日本初、大学構内に誕生した酒蔵</h2><p>2020年、帯広畜産大学のキャンパス内に誕生した画期的な酒蔵です。産学連携による研究開発と、十勝地方の農業を日本酒の力で盛り上げることを目的としています。</p><h2 id=""h46bdc13769"">十勝のテロワールを表現</h2><p>日高山脈からの清らかな水と北海道産米を使用し、十勝の豊かな食材（チーズや肉料理など）にも負けない、しっかりとした旨味のある日本酒を造り出しています。</p>",,"f6gugt63t"
"ls6kjtevg","上川大雪酒造 五稜乃蔵（五稜）","北海道","〒042-0914 北海道函館市亀尾町28-1","0138-84-8822","https://hakodate-goryo.co.jp/","<h2 id=""h23f63e434f"">半世紀ぶりに函館に復活した地酒蔵</h2><p>2021年、函館高専などと連携し、函館の地に約半世紀ぶりに誕生した酒蔵です。地元の米と水にこだわり、函館の食文化に合う酒造りを目指しています。</p><h2 id=""h6376746650"">すっきりとキレのある味わい</h2><p>函館の新鮮なイカや海鮮料理にぴったりと合うよう、すっきりとしながらもキレのあるクリアな味わいの純米酒を中心に醸造しています。</p>",,"ls6kjtevg"
"xm4uqi7nl","三千櫻酒造株式会社（三千櫻）","北海道","〒071-1425 北海道上川郡東川町西町2丁目1番11号","0166-82-4666","https://michizakura.jp/","<h2 id=""h67e299c2e7"">岐阜から北海道へ、奇跡の蔵移転</h2><p>1877年に岐阜県中津川市で創業。老朽化などの理由から、2020年に北海道でも有数の「水が美味しい町」として知られる東川町へ蔵ごと移転するという歴史的決断をしました。</p><h2 id=""h19bbf03e67"">大雪山の水で醸す新しい三千櫻</h2><p>東川町の豊富な地下水（大雪山の伏流水）と出会い、長年培った技術と融合。より透明感が増し、華やかな香りと優しい旨味を持つ新しい酒を生み出しています。</p>",,"xm4uqi7nl"
"6l-vjn_6h89c","箱館醸蔵有限会社（郷宝）","北海道","〒041-1111 北海道亀田郡七飯町字大中山1丁目2-23","0138-83-2555","https://hakodate-jyouzo.co.jp/","<h2 id=""hd8c42efc86"">道南・七飯町に誕生した期待の酒蔵</h2><p>2021年、道南の七飯町（ななえちょう）に新設された酒蔵です。地元・道南地方の米と、横津岳の伏流水を使用し、テロワールを重視した酒造りを行っています。</p><h2 id=""he814ed907a"">郷の宝となる酒「郷宝」</h2><p>銘柄「郷宝（ごうほう）」には、地元の人々に愛され、故郷の宝となるようにという願いが込められています。フレッシュで香り高く、クリアな味わいが特徴です。</p>",,"6l-vjn_6h89c"
"8miqcyv0du","合同酒精株式会社 旭川工場（大雪乃蔵）","北海道","〒078-8334 北海道旭川市南4条通20丁目1955","0166-31-4131","https://www.oenon.jp/","<h2 id=""h587e519b22"">北海道の恵みを活かす総合酒類メーカー</h2><p>オエノングループの合同酒精が旭川で運営する酒蔵「大雪乃蔵」。大雪山系の豊かな水と北海道産米を使用し、高品質な日本酒を安定して醸造しています。</p><h2 id=""h51c5f49ce5"">食卓に寄り添う親しみやすさ</h2><p>日常の食卓で気軽に楽しめる本醸造から、ハレの日にふさわしい大吟醸まで幅広いラインナップを展開。スッキリとした端麗な味わいが特徴です。</p>",,"8miqcyv0du"
"u76clm3tcs","株式会社北鹿（北鹿）","秋田県","〒017-0043 秋田県大館市有浦2丁目2-3","0186-42-2101","https://www.hokushika.jp/","<h2 id=""ha973df26ad"">秋田の北の野を駆ける鹿のごとく</h2><p>1944年、大館・北秋田地域の8つの酒蔵が合同して誕生。秋田県北部の厳しい寒さと良質な伏流水を活かし、「秋田流生酛造り」でコクのある深い味わいの酒を醸しています。</p>",,"u76clm3tcs"
"y_l_651bixcv","千歳盛酒造株式会社（千歳盛）","秋田県","〒018-5201 秋田県鹿角市花輪字中花輪48","0186-23-3115","https://chitosezakari.co.jp/","<h2 id=""h00f5ab2bc4"">鹿角の歴史と共に歩む老舗</h2><p>1872年創業。十和田八幡平の豊かな自然に囲まれた鹿角市で、「千歳の長寿を祈る」という意味を込めた千歳盛を醸造。スッキリとキレの良い端麗辛口が地元で愛されています。</p>",,"y_l_651bixcv"
"pn7ypsuq_4t","喜久水酒造合資会社（喜久水）","秋田県","〒016-0822 秋田県能代市万町6-37","0185-52-2271","http://kikusuisyuzo.com/","<h2 id=""hb640f8c8c5"">国の登録有形文化財の蔵で醸す</h2><p>1875年創業。白神山地の伏流水を使い、トンネルの地下貯蔵庫を利用した長期熟成酒に力を入れています。喜久水という名は「喜びが久しく続くように」との願いが込められています。</p>",,"pn7ypsuq_4t"
"nc9s8efd3dd","株式会社山本酒造店（山本 / 白瀑）","秋田県","〒018-2509 秋田県山本郡八峰町八森字八森269","0185-77-2311","https://yamamoto-sake.com/","<h2 id=""hacae52b26f"">白神山地の湧水で仕込む革新蔵</h2><p>「NEXT5」の山本社長の独創的なアイディアから生まれる革新的な日本酒。柑橘類をかじったかのような爽やかな酸味とジューシーな旨味が特徴です。</p>",,"nc9s8efd3dd"
"86nvk1wrt_51","新政酒造株式会社（新政）","秋田県","〒010-0921 秋田県秋田市大町6丁目2-35","018-823-6407","http://www.aramasa.jp/","<h2 id=""h577b7b16a5"">現存最古の酵母「きょうかい6号」発祥の地</h2><p>1852年創業。秋田県産米を100%使用し、生酛造りや木桶仕込みといった伝統製法に回帰しながらも、その味わいは極めてモダンでクリア。日本酒の新たな美意識を世界に提示しています。</p>",,"86nvk1wrt_51"
"5nmf6hte_tp","秋田醸造株式会社（ゆきの美人）","秋田県","〒010-0001 秋田県秋田市中通6丁目1-35","018-832-2221","(公式サイトなし)","<h2 id=""hbefe1ae4bd"">都市型の完全空調「四季醸造」蔵</h2><p>マンション1階という特異な環境に蔵を構える「ゆきの美人」。最新の空調設備で年間を通して酒造りを行い、搾りたてのフレッシュなガス感と美しい酸味が際立っています。</p>",,"5nmf6hte_tp"
"ng-dutdo060c","秋田酒類製造株式会社（高清水）","秋田県","〒010-0921 秋田県秋田市川元むつみ町4-12","018-864-7331","https://www.takashimizu.co.jp/","<h2 id=""h37c22b4695"">秋田県民の魂の酒「高清水」</h2><p>昭和19年設立。秋田県内で圧倒的なシェアを誇る県民酒です。「加水酒の王者」と呼ばれるほど、スッキリとして飲み飽きしない極めてバランスの良い味わいを実現しています。</p>",,"ng-dutdo060c"
"mfklx_kfln","秋田酒造株式会社（秋田晴 / 酔楽天）","秋田県","〒010-1637 秋田県秋田市新屋表町5-3","018-828-1311","https://akitabare.jp/","<h2 id=""hbeb947f6f1"">秋田市新屋の豊かな湧水と共に</h2><p>1908年創業。古くから湧き水が豊富な「新屋（あらや）」地区に位置し、ふくよかで丸みのある優しい味わいの日本酒を醸しています。大吟醸「酔楽天」は数々の賞に輝く傑作です。</p>",,"mfklx_kfln"
"4a1rzs4h51","株式会社那波商店（銀鱗）","秋田県","〒011-0946 秋田県秋田市土崎港中央1丁目6-35","018-845-1260","https://www.ginrin.jp/","<h2 id=""h732499657e"">湊町・土崎で魚介に合う酒を追求</h2><p>1815年創業。秋田の海の玄関口である土崎港で、新鮮な魚料理に負けないしっかりとした旨味とコクを持つ酒造りを行っています。「銀鱗」の如く輝くスッキリとした後味が特徴です。</p>",,"4a1rzs4h51"
"h7mj9zza9","福禄寿酒造株式会社（一白水成）","秋田県","〒018-1616 秋田県南秋田郡五城目町字下タ町48","018-852-4130","https://www.fukurokuju.jp/","<h2 id=""h2255ed7c6e"">「白い米と水から成る、一番旨い酒」</h2><p>五城目町の自然と地下水から生まれる「一白水成」。果実のような華やかな香りとジューシーな旨味が溢れ、現代の日本酒トレンドを牽引する若き蔵元集団「NEXT5」の一角です。</p>",,"h7mj9zza9"
"x_gxin8h3bc","小玉醸造株式会社（太平山）","秋田県","〒018-1504 秋田県潟上市飯田川飯塚字飯塚34-1","018-877-2100","https://www.kodamajozo.co.jp/","<h2 id=""h2a27b1efca"">「秋田流生酛造り」の完成者</h2><p>1879年創業。醤油や味噌の醸造から始まり、大正時代に酒造りへ参入。電動の半切桶を独自開発し「秋田流生酛造り」を確立した名門。力強くコクのある本格派の味わいです。</p>",,"x_gxin8h3bc"
"hkaz5mujekwu","秋田誉酒造株式会社（秋田誉）","秋田県","〒015-0834 秋田県由利本荘市砂子下12","0184-22-1241","(公式サイトなし)","<h2 id=""h9e34847d5b"">地域に根ざした誠実な酒造り</h2><p>由利本荘市で長年地元の人々に愛される日本酒を醸造。派手さを抑え、毎日の晩酌で飲み飽きしない、お米の優しい旨味が広がるホッとする味わいが特徴です。</p>",,"hkaz5mujekwu"
"2liyn0razu","株式会社齋彌酒造店（雪の茅舎）","秋田県","〒015-0011 秋田県由利本荘市石脇字石脇53","0184-22-0536","https://www.yukinobousha.jp/","<h2 id=""h4a01f86fe7"">「櫂入れをしない」自然の力を信じる酒造り</h2><p>発酵中の醪をかき混ぜない「櫂入れなし」、濾過をしない、割水をしない「三内造り」を徹底。驚くほど透明感があり、美しく上品な香りが漂う至高の味わいです。</p>",,"2liyn0razu"
"ej190o97t","天寿酒造株式会社（天寿 / 鳥海山）","秋田県","〒015-0411 秋田県由利本荘市矢島町城内字八森下117","0184-55-3165","https://tenju.co.jp/","<h2 id=""h33cc2f272a"">鳥海山の伏流水と自社栽培米</h2><p>1830年創業。名峰・鳥海山の清冽な伏流水を使用。自ら「天寿酒米研究会」を立ち上げ、良質な酒米の栽培から一貫したこだわりの酒造りを行っています。華やかで洗練された味わいです。</p>",,"ej190o97t"
"is0-9yi53","株式会社飛良泉本舗（飛良泉）","秋田県","〒018-0402 秋田県にかほ市平沢字中町59","0184-32-2021","https://www.hiraizumi.co.jp/","<h2 id=""h339f512d75"">室町時代創業、東北最古の歴史を持つ酒蔵</h2><p>1487年（室町時代）創業。伝統の「山廃仕込み」がもたらす、しっかりとした酸味と奥深い腰のある味わい。近年は若い世代に向けたモダンな山廃「マル飛」なども展開しています。</p>",,"is0-9yi53"
"nt8gdth4q","株式会社佐藤酒造店（出羽の冨士）","秋田県","〒015-0012 秋田県由利本荘市石脇字石脇268","0184-22-2254","https://www.dewanofuji.co.jp/","<h2 id=""h9d8a8ce009"">鳥海山（出羽の冨士）の恩恵を受ける</h2><p>1907年創業。出羽の冨士と称される鳥海山の伏流水を使用し、ふくよかで滑らかな口当たりの酒を醸しています。地元の人々に日常的に愛される、誠実で温かみのある地酒です。</p>",,"nt8gdth4q"
"rfaolmbw6um","福乃友酒造株式会社（福乃友 / 秋田犬）","秋田県","〒019-1541 秋田県大仙市神宮寺字本郷野82-6","0187-72-4141","https://fukunotomo.co.jp/","<h2 id=""h7e253e2b8f"">飲む人に福をもたらす友のような酒</h2><p>1913年創業。雄物川の豊かな水と、秋田平野の良質な米を使用。派手な香りよりも、飲んでホッとするような米の旨味を大切にした純米造りに力を入れています。</p>",,"rfaolmbw6um"
"4crjsbftg2s1","出羽鶴酒造株式会社（出羽鶴）","秋田県","〒019-1701 秋田県大仙市南外字悪戸野81","0187-73-1050","https://www.igeta.jp/","<h2 id=""h0cf5b32457"">出羽の丘陵から湧き出る軟水の恵み</h2><p>1865年創業。同じ系列の「刈穂」が硬水・山廃・辛口であるのに対し、「出羽鶴」は柔らかな軟水を使用した、なめらかで丸みのある優しい味わいが特徴です。</p>",,"4crjsbftg2s1"
"qlp8b6a2sd8","刈穂酒造株式会社（刈穂）","秋田県","〒014-0051 秋田県大仙市神宮寺字神宮寺263","0187-72-4321","https://www.igeta.jp/","<h2 id=""hdeb927af5f"">伝統の「山廃仕込み」と全量「酒槽搾り」</h2><p>1913年創業。硬水と山廃仕込みがもたらす力強い発酵力から生まれる「超辛口」の代名詞。ただ辛いだけでなく、しっかりと芯のある旨味と深いコクが味わえる通好みの日本酒です。</p>",,"qlp8b6a2sd8"
"brn56_7eb","有限会社奥田酒造店（千代緑）","秋田県","〒019-2625 秋田県大仙市協和境字境113","018-892-3001","https://chiyomidori.com/","<h2 id=""hcf5844d182"">1674年創業の歴史と新しい酵母の探求</h2><p>秋田県内で二番目に古い歴史を持つ酒蔵。近年では「MS3」などの秋田県独自の新しい酵母を積極的に活用し、伝統の枠を超えたジューシーでフルーティーな酒造りで注目を集めています。</p>",,"brn56_7eb"
"clq-jdxkp","合名会社鈴木酒造店（秀よし）","秋田県","〒014-0402 秋田県大仙市中仙町長野字二日町9","0187-56-2121","https://www.hideyoshi.co.jp/","<h2 id=""ha3cc99b72d"">秋田藩主が「秀でて良し」と讃えた御用蔵</h2><p>1689年創業。秋田藩主の佐竹公が激賞したことから名付けられた歴史ある名蔵。地元の人々の生活に寄り添う、ふくよかで甘みのある味わいを守り続けています。</p>",,"clq-jdxkp"
"j3bsbzzdmump","金紋秋田酒造株式会社（X3 / 金紋秋田）","秋田県","〒014-1412 秋田県大仙市藤木字西八圭31","0187-69-3151","https://www.kinmon-kosyu.com/","<h2 id=""hc821628323"">世界が驚嘆する「長期熟成古酒」のパイオニア</h2><p>日本酒の熟成（古酒）にいち早く着目し、世界的な評価を得ている酒蔵です。「X3（エックススリー）」シリーズなど、常識を覆す複雑な旨味と美しい琥珀色の液面が多くのプロを魅了しています。</p>",,"j3bsbzzdmump"
"kufy3oj0e","合名会社栗林酒造店（春霞）","秋田県","〒019-1404 秋田県仙北郡美郷町六郷字米町56","0187-84-2108","https://harugasumi.com/","<h2 id=""he8d70ce974"">名水百選「六郷の湧水」が育む柔らかな酒</h2><p>派手な香りを追わず、食事と一緒に美味しく飲める「究極の食中酒」をコンセプトに、柔らかく穏やかで、じんわりと旨味が広がる味わいを追求。「NEXT5」のメンバーです。</p>",,"kufy3oj0e"
"4nqby-r06a","株式会社高橋酒造店（奥清水）","秋田県","〒019-1404 秋田県仙北郡美郷町六郷宝門清水72-13","0187-84-2105","http://www.okushimizu.co.jp/","<h2 id=""hd2c88e723d"">清水の里で醸す、透明感溢れる美酒</h2><p>名水百選の町・美郷町六郷の中でも、特に水質が良いとされる「宝門清水」を仕込み水に使用。その名の通り、奥深い澄んだ清水のようにスッキリとした美しい味わいが特徴です。</p>",,"4nqby-r06a"
"qir3tjcim11","阿櫻酒造株式会社（阿櫻）","秋田県","〒013-0043 秋田県横手市大沢字西野67-2","0182-32-0126","https://www.azakura.co.jp/","<h2 id=""h23a4361f52"">横手のかまくらと共に歩む、情熱の秋田流寒造り</h2><p>1886年創業。「かまくら」で有名な横手市の豪雪地帯に位置し、厳しい寒さを利用した「秋田流長期低温発酵」によって、雑味のない綺麗な酒を醸しています。山内杜氏の技が光る旨口の酒です。</p>",,"qir3tjcim11"
"hhri5ymcj_03","舞鶴酒造株式会社（朝乃舞 / 田從）","秋田県","〒013-0105 秋田県横手市平鹿町浅舞字浅舞184","0182-24-1171","(公式サイトなし)","<h2 id=""h6367c47321"">独自の「山廃」を貫くマニア垂涎の蔵</h2><p>大量生産をせず、極めて小規模でこだわり抜いた酒造りを行う酒蔵。「田從（でんじゅう）」などの銘柄は、力強い酸と熟成による深いコクがあり、全国の熱狂的なファンに支持されています。</p>",,"hhri5ymcj_03"
"118pi_j-n","浅舞酒造株式会社（天の戸）","秋田県","〒013-0105 秋田県横手市平鹿町浅舞字浅舞388","0182-24-1030","https://amanoto.co.jp/","<h2 id=""h655d2360c9"">蔵から半径5km以内の米で醸す全量純米酒</h2><p>使用する酒米はすべて蔵から半径5km以内の地元農家が栽培。米本来のふくよかな旨味と湧水による柔らかな口当たりが調和し、日々の生活に寄り添う優しいお酒です。</p>",,"118pi_j-n"
"7vww2jtgg1k","株式会社大納川（大納川 / 天花）","秋田県","〒013-0521 秋田県横手市大森町字大森169","0182-26-2004","https://dainagawa.co.jp/","<h2 id=""h7f5deb6c3a"">新体制で躍進する「天花」の輝き</h2><p>近年、経営体制を一新し「大納川」としてリスタート。新ブランド「天花（てんか）」は、無濾過原酒を中心に、フレッシュで華やかな香りと弾けるような果実味が全国で大ブレイクしています。</p>",,"7vww2jtgg1k"
"frg2zhjhhn","日の丸醸造株式会社（まんさくの花）","秋田県","〒019-0524 秋田県横手市増田町増田字七日町114-2","0182-45-2005","https://hinomaru-sake.com/","<h2 id=""h189a8deacf"">豪雪地帯・横手が育む、挑戦し続ける蔵</h2><p>1689年創業。年間を通じて数十種類もの異なる酒米や酵母を使用した限定酒をリリース。華やかな香りとしっかりとした米の旨味、美しい酸味が調和した洗練された味わいが特徴です。</p>",,"frg2zhjhhn"
