id,name,brewery,brand,price,description,imageUrl,purchaseUrl,oldId
"7teaezhv","たかちよ STRAWBERRYMOON 扁平精米無濾過生原酒","高千代酒造株式会社（高千代 / たかちよ）","高千代 / たかちよ","1980","<p>商品詳細 高千代酒造の人気シリーズ「たかちよ（ひらがなラベル）」から、この季節だけの特別バージョンが登場！ 「たかちよ」は、ラベルカラーごとに果実をテーマにした味わいが楽しめるシリーズ。今回の「STRAWBERRY MOON」は、その名のとおり“イチゴ”のような甘酸っぱさと香りを追求した一本です。 新潟県開発の新型酵母「S9ARG」を使って仕込まれていて、香りはまるで熟したイチゴ！ しっかりとした旨みに、やさしい酸味が合わさって、まさに“飲むイチゴ”。 果実感たっぷりなのに、日本酒らしいコクも感じられる、満足感のある味わいです。 購入ページへ（外部サイト） その他商品一覧 たかちよ（TAKACHIYO） たかちよ STRAWBERRYMOON 扁平精... 720ml ¥ 1,980 (税込) 59Takachiyo 59Takachiyo CHAPTER 15 ... 720ml ¥ 1,870 (税込) 飲める・買えるお店 該当するリストがありません</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_a64195ee-97fa-4b3e-8e9b-2a81a99cd942.png","https://a.r10.to/hgPRwl","7teaezhv"
"4kxrmics","播州一献 純米吟醸 SPRING SHINE 生酒 1800ml ","Unknown",,"4070","<p>商品詳細 春の輝きをそのまま表現したような、軽やかで美しい味わいの一本です。 まず感じるのは、キリッとした鮮やかな酸味。 これは「新しい季節のときめき」をイメージして仕上げたもの。そして、あとからふんわりと広がる優しい甘みは、四段仕込みによるもの。まるで春風のようにやわらかく、心地よく広がります。 旨味もありながら重たさはなく、「もう一杯…」と自然に手が伸びる軽やかさ。 これは、もろみ原酒でアルコール度数を14%に調整し、絶妙な飲み心地を追求した結果です。 山菜料理や鰆の塩焼きなど、春の食材との相性も抜群。 春の食卓にぴったりの一本です</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-1992x1992_v-frms_webp_d6645092-d5f4-4385-a181-c9e48ac16bd6.png","https://a.r10.to/h5Cn74","4kxrmics"
"h5hcfio-","あたごのまつ はるこい 純米吟醸酒 本生","Unknown",,"1870","<p>商品詳細 春を感じるピンク色がかわいい、にごり生酒です。 “赤色酵母”という、発酵中にお酒をほんのりピンクに染める特別な酵母を使って仕込まれた、協会認定の春限定酒！ 桜が咲くのが待ち遠しくなるような、春らしい見た目。 口に含むと、ほんのりフルーティーでやさしい香りがふわっと広がり、トロッとした舌ざわりと、まるで苺のような甘酸っぱさが爽やかに感じられます。 微発泡タイプで、シュワっと軽やかな飲み口。 アルコールはやや控えめの11％で、とっても飲みやすい一本です 購入ページへ（外部サイト） その他商品一覧 伯楽星（HAKURAKUSEI） 伯楽星(はくらくせい)　特別純米 720ml ¥ 2,750 (税込) 伯楽星（HAKURAKUSEI） 伯楽星（はくらくせい） 純米大吟醸 720ml ¥ 2,750 (税込) 飲める・買えるお店 該当するリストがありません</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-1992x1992_v-frms_webp_84cba804-e196-4622-bbe4-21f0a515024d.png","https://a.r10.to/h5hHjr","h5hcfio-"
"mbgptj-l","鬼酒　大江山　原酒","松波酒造株式会社（大江山）","大江山","1750","<p>商品詳細 購入ページへ（外部サイト） その他商品一覧 鬼酒　大江山　原酒 720ml ¥ 1,750 (税込) 鬼の舞　大江山 720ml ¥ 1,750 (税込) coji 搾りたて 純米酒 720ml ¥ 2,000 (税込) 飲める・買えるお店 該当するリストがありません</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-586x780_v-fs_webp_48aadb93-b44b-49d9-9eb1-92d226282223.jpg",,"mbgptj-l"
"xwnglv4r","鬼の舞　大江山","松波酒造株式会社（大江山）","大江山","1750","<p>商品詳細 酒呑童子が愛した「華やかな味わい」。マイルドでフルーティさを感じ、お米の甘みを感じることができます。 購入ページへ（外部サイト） その他商品一覧 鬼酒　大江山　原酒 720ml ¥ 1,750 (税込) 鬼の舞　大江山 720ml ¥ 1,750 (税込) coji 搾りたて 純米酒 720ml ¥ 2,000 (税込) 飲める・買えるお店 該当するリストがありません</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-586x780_v-fs_webp_ac81bd9b-6425-4481-9713-cd5afdeaaf73.jpg",,"xwnglv4r"
"gfx_gckt","coji 搾りたて 純米酒","Unknown",,"2000","<p>商品詳細 購入ページへ（外部サイト） その他商品一覧 鬼酒　大江山　原酒 720ml ¥ 1,750 (税込) 鬼の舞　大江山 720ml ¥ 1,750 (税込) coji 搾りたて 純米酒 720ml ¥ 2,000 (税込) 飲める・買えるお店 該当するリストがありません</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-586x780_v-fs_webp_f868d849-791e-456c-ad13-2d2986825111.jpg",,"gfx_gckt"
"ejgkg9dx","石鎚　純米大吟醸　さくらひめ","Unknown",,"3630","<p>商品詳細 愛媛県オリジナル品種の花から生まれた清酒用花酵母「愛媛さくらひめ酵母Type1 Tropical」を使用して醸した純米大吟醸酒です。 果実を感じさせる華やかな香りと、適度な甘さと爽快な酸味が調和しているのが特徴となっています。 このお酒のある空間が華やぐよう、可憐に咲く「さくらひめ」の花をイメージしたデザインです。 石鎚酒造がお届けする新世代の愛媛の日本酒のテロワールをお楽しみください。 購入ページへ（外部サイト） その他商品一覧 石鎚（ISHIZUCHI） 石鎚　純米大吟醸　さくらひめ 720ml ¥ 3,630 (税込) 飲める・買えるお店 該当するリストがありません</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-1800x2400_v-frms_webp_b04d584b-d7b7-46b2-9dd5-89e09a51af6f.jpg",,"ejgkg9dx"
"6rpriteh","飛良泉 FOUR SEASONS 春 うすにごり","株式会社飛良泉本舗（飛良泉）","飛良泉","1870","<p>商品詳細 酒蔵のある秋田県にかほ市の四季を「山廃づくり」で体現した&quot;FOUR SEASONS&quot;は飛良泉の仕込み水の源、鳥海山の壮大な景色をヒントに醸しました。 「春」はあけぼの、残雪、春かすみの連想から&quot;うすにごり&quot;で誂えました。 今シーズンのにかほ市は、雪が多かったり、少なかったり…。 にごり成分は昨年と比べ増やしたのでミルキーさがアップ。 春らしい優しい甘酸と米由来のビターさが後を引く味わいに。 スルスルと飲めるように設計しました。 是非お食事と一緒にお楽しみ下さい。 購入ページへ（外部サイト） その他商品一覧 FOUR SEASONS 飛良泉 FOUR SEASONS 春 うすにご... 720ml ¥ 1,870 (税込) 飛良泉（HIRAIZUMI） 飛良泉 山廃純米酒（特別純米酒） ml ¥ 1,760 (税込) 飲める・買えるお店 該当するリストがありません</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-1800x2400_v-frms_webp_8ca84f47-1f91-4eb5-bfff-4a37c4f68dce.jpg","https://a.r10.to/hk6RsT","6rpriteh"
"y4lordgd","HIRAN 飛鸞 ひらん にこまる 生酛造り","Unknown",,"3355","<p>商品詳細 長崎の食用米の奨励品種である「にこまる」を使用したお酒です。 酸味が味わいの輪郭としてしっかりとあり、軽い飲み口ながらもお米の旨みを感じられ、程よいフレッシュさが楽しめるお酒です。 購入ページへ（外部サイト） その他商品一覧 飛鸞（HIRAN） HIRAN 飛鸞 ひらん にこまる 生酛造り 1800ml ¥ 3,355 (税込) 飲める・買えるお店 該当するリストがありません</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-1800x2400_v-frms_webp_cd10b67a-651d-4458-b145-2870bc8c60cf.jpg","https://a.r10.to/hYMWjS","y4lordgd"
"aoqevoqf","来福　純米吟醸　いちごの花酵母","Unknown",,"1650","<p>商品詳細 ５BYの新酒は、出羽燦々、精米歩合50％、酵母は、いちごです。酒度は-2、酸度1.5です。 口に含んだ時に感じるベリー系の香りと熟した🍓イチゴの様なジューシーな甘みが口いっぱいに広がります。 購入ページへ（外部サイト） その他商品一覧 来福（RAIFUKU） 来福 らいふく 純米吟醸 夏麗 KAREI 720ml ¥ 1,870 (税込) 来福（RAIFUKU） 来福　純米吟醸　いちごの花酵母 720ml ¥ 1,650 (税込) 【ふるさと納税】No.084 日本酒アイス　秀... ml ¥ 13,000 (税込) 来福（RAIFUKU） 来福　純米吟醸　安康（あんこう） 720ml ¥ 1,815 (税込) 来福（RAIFUKU） 来福（らいふく）Coming Happines... 1800ml ¥ 3,190 (税込) 飲める・買えるお店 該当するリストがありません</p>","https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-1800x2400_v-frms_webp_642e7f35-5687-4152-bd3e-c5066b2aa4a3.jpg","https://a.r10.to/hkGUYW","aoqevoqf"
