id,name,brewery,brand,price,description,imageUrl,purchaseUrl
"sake-0","バランスの取れた飽きの来ない【純米】 浦霞 純米酒 720ml 父の日 清酒 日本酒 お祝い お供え 浦霞 御中元 ギフト プレゼント Gift 贈答品 内祝い お返し お酒 日本酒ギフト 贈り物","7o5qgpz8","y8k5uja4","1600","【東北宮城県の酒蔵です】","https://thumbnail.image.rakuten.co.jp/@0_mall/lw-hana/cabinet/12327027/113372.jpg","https://hb.afl.rakuten.co.jp/hgc/g00qhy37.5rcr07c0.g00qhy37.5rcr1de2/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Flw-hana%2F113372%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Flw-hana%2Fi%2F10000277%2F&rafcid=wsc_i_is_1037626038883608117"
"sake-1","【ふるさと納税】 【七賢】 日本酒 飲み比べ 720ml×3本セット 絹の味 天鵞絨の味 風凛美山 純米大吟醸 純米吟醸 純米 ギフト プレゼント 贈答 贈り物 酒 家飲み セット 山梨銘醸 山梨県 北杜市 白州 母の日 父の日 送料無料","8mpm64h5","vzozhz7b","20000","初めて七賢を飲む方にもおすすめの、七賢を代表する純米3本セット。","https://thumbnail.image.rakuten.co.jp/@0_mall/f192091-hokuto/cabinet/07206751/imgrc0116526414.jpg","https://hb.afl.rakuten.co.jp/hgc/g00t9h27.5rcr0007.g00t9h27.5rcr1de3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ff192091-hokuto%2Fitem257%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ff192091-hokuto%2Fi%2F10000348%2F&rafcid=wsc_i_is_1037626038883608117"
"sake-2","七田【しちだ】 純米大吟醸 720ml 【日本酒】【七田】 お酒","6lp3mxlz","5cobf8hf","3960","《特約店限定》七田の最高級品“純米大吟醸”手頃な価格で贈り物にも大変人気です！","https://thumbnail.image.rakuten.co.jp/@0_mall/ono-sake/cabinet/00958694/07749746/imgrc0083246334.jpg","https://hb.afl.rakuten.co.jp/hgc/g00qjbz7.5rcr03f7.g00qjbz7.5rcr146f/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fono-sake%2Fsk-sitida-10%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fono-sake%2Fi%2F10000123%2F&rafcid=wsc_i_is_1037626038883608117"
"sake-3","日本酒 地酒 山形 出羽桜酒造 桜花 吟醸酒 1800ml 1梱包6本まで","zqy85y60","8kq71ywq","2860","ショップ オブ ザ イヤー 2024/2025 W受賞","https://thumbnail.image.rakuten.co.jp/@0_mall/manroku/cabinet/img002/0104dbz-ouka-b_1.jpg","https://hb.afl.rakuten.co.jp/hgc/g00rey17.5rcr0e9f.g00rey17.5rcr14b2/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fmanroku%2F0104dbz-ouka-b%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fmanroku%2Fi%2F10000993%2F&rafcid=wsc_i_is_1037626038883608117"
"sake-4","秋田 出羽鶴 観光袋 なまはげ 300ml×2本 秋田の日本酒","pwo87l1b","917rxj1c","1650","「ちょい生」「はばたき純米」のセット","https://thumbnail.image.rakuten.co.jp/@0_mall/buxtusannakasen/cabinet/07299822/imgrc0082520543.jpg","https://hb.afl.rakuten.co.jp/hgc/g00t6p47.5rcr0d47.g00t6p47.5rcr1223/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbuxtusannakasen%2Fal-12%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbuxtusannakasen%2Fi%2F10000063%2F&rafcid=wsc_i_is_1037626038883608117"
"sake-5","南部美人 純米大吟醸 岩手県（株式会社南部美人）【720ml】［日本酒／JAL国際線ファーストクラス機内酒／人気ギフト］※専用木箱入り","grahva3p","npuyowz5","6930","JAL国際線ファーストクラスの 機内酒として利用されたことのある 日本酒です！ 熟した白桃を彷彿させる豊潤な香味の中を、 キリっとした辛さが直線的に走っていきます。 また、1年間低温熟成させたことで、","https://thumbnail.image.rakuten.co.jp/@0_mall/jizake-watanabe/cabinet/06300917/07078295/imgrc0105937585.jpg","https://hb.afl.rakuten.co.jp/hgc/g00q1bu7.5rcr0f00.g00q1bu7.5rcr15d4/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjizake-watanabe%2F10006983%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjizake-watanabe%2Fi%2F10006983%2F&rafcid=wsc_i_is_1037626038883608117"
"sake-6","日本酒 WGO 2024 金賞 スパークリング清酒 小瓶 6本 飲み比べセット ワイングラスでおいしい日本酒 黄桜 白鶴 花泡香 嘉美心 Hitotoki 人気一 春夏のお酒 新生活 入学祝い 卒業祝い 就職祝い 進学祝い","324fbsvp","74p5c3f3","4345","のし ギフト包装可","https://thumbnail.image.rakuten.co.jp/@0_mall/issyusouden/cabinet/2021_01/05/10000450set.jpg","https://hb.afl.rakuten.co.jp/hgc/g00rde17.5rcr0b9f.g00rde17.5rcr1bc7/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fissyusouden%2F10000450set%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fissyusouden%2Fi%2F10024665%2F&rafcid=wsc_i_is_1037626038883608117"
"sake-7","【永井酒造】水芭蕉 純米大吟醸 翠 1800ml (群馬県産地酒・川場村）ミズバショウ","dtdga21l","tjvi75ek","4400","水芭蕉ブランド・水芭蕉の花が連想される味わい【群馬県：関東/日本酒】冷や(10〜15℃）がオススメ！ お歳暮ギフト 日本酒","https://thumbnail.image.rakuten.co.jp/@0_mall/auc-horie/cabinet/mizuba15-05.jpg","https://hb.afl.rakuten.co.jp/hgc/g00qpa67.5rcr0c44.g00qpa67.5rcr1028/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-horie%2Fmizuba15%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-horie%2Fi%2F10000288%2F&rafcid=wsc_i_is_1037626038883608117"
"sake-8","送料無料 八戸酒造 陸奥八仙を知ろう 飲み比べセット 720ml×3本 酒説明書付き 日本酒 青森県八戸市 父の日 母の日 御中元","whsd6hmb","rkt4lsy3","7370","送料無料！陸奥八仙を知ろうセット！","https://thumbnail.image.rakuten.co.jp/@0_mall/shidukuya/cabinet/03078492/05312828/imgrc0078131274.gif","https://hb.afl.rakuten.co.jp/hgc/g00rhp77.5rcr0e56.g00rhp77.5rcr16d2/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fshidukuya%2Fmutsuhassenset003%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fshidukuya%2Fi%2F10002094%2F&rafcid=wsc_i_is_1037626038883608117"
"sake-9","純米大吟醸 ギフト 渡舟 720ml ≪要冷蔵表記≫ 日本酒 茨城県石岡市 府中誉 わたりぶね 父の日 母の日 御中元","k5x3mqt6","9vqgzyfd","6233","これが渡舟の最高峰酒！！","https://thumbnail.image.rakuten.co.jp/@0_mall/shidukuya/cabinet/03078492/03078494/03078533/img67846283.jpg","https://hb.afl.rakuten.co.jp/hgc/g00rhp77.5rcr0e56.g00rhp77.5rcr16d2/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fshidukuya%2Fwataribune002%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fshidukuya%2Fi%2F10000018%2F&rafcid=wsc_i_is_1037626038883608117"
